Client ID,Company ID,Client Contract Starting Month,Flag 1,Flag 2,Flag 3,Flag 4,Flag 5,Flag 6,Activity 1 Time Period 11,Activity 1 Time Period 10,Activity 1 Time Period 9,Activity 1 Time Period 8,Activity 1 Time Period 7,Activity 1 Time Period 6,Activity 1 Time Period 5,Activity 1 Time Period 4,Activity 1 Time Period 3,Activity 1 Time Period 2,Activity 1 Time Period 1,Activity 1 Time Period 0,Activity 2 Time Period 11,Activity 2 Time Period 10,Activity 2 Time Period 9,Activity 2 Time Period 8,Activity 2 Time Period 7,Activity 2 Time Period 6,Activity 2 Time Period 5,Activity 2 Time Period 4,Activity 2 Time Period 3,Activity 2 Time Period 2,Activity 2 Time Period 1,Activity 2 Time Period 0,Activity 3 Time Period 11,Activity 3 Time Period 10,Activity 3 Time Period 9,Activity 3 Time Period 8,Activity 3 Time Period 7,Activity 3 Time Period 6,Activity 3 Time Period 5,Activity 3 Time Period 4,Activity 3 Time Period 3,Activity 3 Time Period 2,Activity 3 Time Period 1,Activity 3 Time Period 0,Activity 4 Time Period 11,Activity 4 Time Period 10,Activity 4 Time Period 9,Activity 4 Time Period 8,Activity 4 Time Period 7,Activity 4 Time Period 6,Activity 4 Time Period 5,Activity 4 Time Period 4,Activity 4 Time Period 3,Activity 4 Time Period 2,Activity 4 Time Period 1,Activity 4 Time Period 0,Activity 5 Time Period  11,Activity 5 Time Period  10,Activity 5 Time Period  9,Activity 5 Time Period  8,Activity 5 Time Period  7,Activity 5 Time Period  6,Activity 5 Time Period  5,Activity 5 Time Period  4,Activity 5 Time Period  3,Activity 5 Time Period  2,Activity 5 Time Period  1,Activity 5 Time Period  0,Activity 6 Time Period  11,Activity 6 Time Period  10,Activity 6 Time Period  9,Activity 6 Time Period  8,Activity 6 Time Period  7,Activity 6 Time Period  6,Activity 6 Time Period  5,Activity 6 Time Period  4,Activity 6 Time Period  3,Activity 6 Time Period  2,Activity 6 Time Period  1,Activity 6 Time Period  0,Activity 7 Time Period  11,Activity 7 Time Period  10,Activity 7 Time Period  9,Activity 7 Time Period  8,Activity 7 Time Period  7,Activity 7 Time Period  6,Activity 7 Time Period  5,Activity 7 Time Period  4,Activity 7 Time Period  3,Activity 7 Time Period  2,Activity 7 Time Period  1,Activity 7 Time Period  0,Activity 8 Time Period 11,Activity 8 Time Period 10,Activity 8 Time Period 9,Activity 8 Time Period 8,Activity 8 Time Period 7,Activity 8 Time Period 6,Activity 8 Time Period 5,Activity 8 Time Period 4,Activity 8 Time Period 3,Activity 8 Time Period 2,Activity 8 Time Period 1,Activity 8 Time Period 0,Client Retention Flag
10004519380,6294937,Jun,Multi Year,2,Yes,Unknown,8,Manufacturing,24,16,20,52,0,14,94,44,16,22,10,40,2,0,0,0,0,1,27,13,4,0,0,3,0,2,1,1,1,1,2,0,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,Yes
10004521476,6293796,Mar,Multi Year,7,No,Yes,6,Government,9,2,0,18,27,0,26,2,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No
10004515403,6293911,Dec,Multi Year,2,No,Unknown,15,Technology and Telecom,1,11,12,0,11,13,5,6,11,38,4,1,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004511478,6293048,Feb,Multi Year,2,No,Unknown,15,Technology and Telecom,1,0,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No
10004516858,6294364,Jun,Multi Year,7,No,Unknown,9,"Banking, Finance & Ins",16,14,48,6,6,0,8,18,12,34,40,12,9,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004521519,6292276,Jun,Single Year,7,No,Yes,3,Education,10,6,30,52,0,0,36,0,0,56,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Yes
10004510565,6294388,May,Multi Year,2,No,Unknown,16,Government,0,0,2,0,2,0,4,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004519510,6292068,Jul,Single Year,2,Yes,Unknown,3,Education,0,6,14,0,2,2,0,0,0,4,0,10,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,3,2,0,2,0,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004521134,6293710,Oct,Multi Year,2,Yes,Yes,7,Government,14,28,22,38,16,6,0,0,8,0,4,12,0,0,0,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes
10004519931,6293762,May,Multi Year,2,Yes,Yes,3,Education,64,144,212,220,96,98,22,26,0,2,2,92,0,1,1,2,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004516273,6295801,May,Single Year,6,Yes,Unknown,3,Education,2,2,0,10,14,0,2,0,0,12,22,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004522164,6294074,Jun,Single Year,2,No,Yes,15,Technology and Telecom,20,0,0,10,28,0,0,2,2,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes
10004515086,6295382,Jul,Single Year,6,Yes,Unknown,3,Education,19,9,12,14,13,20,2,3,21,0,0,20,0,0,0,1,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10004516634,6293993,Sep,Single Year,6,Yes,Unknown,12,Energy & Utilities,0,0,27,27,0,3,93,9,0,18,0,0,0,0,0,4,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004512324,6294540,Aug,Single Year,2,No,Unknown,3,Education,0,0,2,0,2,16,2,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004512983,6295337,Mar,Single Year,6,Yes,Unknown,8,Manufacturing,0,12,48,12,28,32,4,0,20,12,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,5,4,2,2,2,5,2,4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
10004515451,6295774,May,Single Year,10,Yes,Unknown,8,Manufacturing,0,0,0,0,0,0,0,46,24,6,18,38,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004510436,6293040,Mar,Single Year,6,Yes,Unknown,15,Technology and Telecom,0,0,4,2,0,20,6,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
10004515069,6296076,Jun,Single Year,6,Yes,Unknown,8,Manufacturing,5,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
10004520939,6293598,Dec,Single Year,7,No,Yes,8,Manufacturing,2,0,0,3,0,0,1,2,0,4,1,0,0,0,0,1,0,0,3,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Yes
10004517063,6293120,Jun,Multi Year,2,No,Unknown,8,Manufacturing,8,8,10,2,4,18,12,4,10,0,4,2,0,1,2,1,0,0,6,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
